ticker,fund_name,initial_date,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Agilent Technologies Inc. Common Stock,1999-12-31,0,-0.29183529657651974,-0.47926935143800786,-0.3700453857791225,0.6280619596541788,-0.17578636404540482,0.3813276313607967,0.11105894164950647,0.05423241838491477,-0.5745781326011554,0.9878443841630946,0.3334406169161932,-0.15689133206319283,0.18377923897263337,0.41131527749213403,0.007827920758227469,0.03464981176737214,0.10162731746904208,0.4831785744805681,0.01665415622822608,0.27539558209277115,0.3979088550251546,0.35509643407301517,-0.055227021392352804,-0.06421528572878166,-0.03013739824638617
AA,Alcoa Corporation Common Stock ,1999-12-31,0,-0.17995860573350375,0.07855567634387062,-0.3455400332509754,0.7098868775565639,-0.15781042369501252,-0.03805796522313876,0.04005292088642487,0.2412461762122542,-0.6827950766053656,0.47381270476634474,-0.036219078198221344,-0.4331464624275866,0.016866119071946573,0.24145013259564796,0.4981258999787308,-0.36845482157215204,0.2006800184606674,0.9184470266666602,-0.5065899485785713,-0.19074487291888453,0.07159459254527722,1.5904607674176114,-0.231173994890992,-0.24334356567532733,-0.19411765827852134
AACI,Armada Acquisition Corp. I Common Stock,2021-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004102560190054172,0.03370785750683436,0.06422930628014334,0.01949852140640118
AACIU,Armada Acquisition Corp. I Unit,2021-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023469340587745524,0.008973096209767384,0.0681818717253373,0.00832554999260271
AACIW,Armada Acquisition Corp. I Warrant,2024-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
AADI,Aadi Bioscience Inc. Common Stock,2018-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6222222222222222,-0.6329411899342257,0.5705128577412324,0.6428571382231567,-0.46873705480882877,-0.8425565087343336,-0.05940594351556927
AAGR,African Agriculture Holdings Inc. Common Stock,2021-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0010205202284282455,0.010214540408531425,-0.8236855427781351,-0.33680000305175783
AAGRW,African Agriculture Holdings Inc. Warrant,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
AAL,American Airlines Group Inc. Common Stock,2005-09-27,NA,NA,NA,NA,NA,NA,0.9243520433001251,0.44991973137383834,-0.7268337948544081,-0.47450717666365205,-0.37386794067671514,1.0681816162994977,-0.49350657947194243,1.6627223031688225,0.8703703897974693,1.134688923772396,-0.20354423093121066,0.1148089168222286,0.12398104509032692,-0.37689068186972663,-0.0957193819037846,-0.4481074534865892,0.13887118345838934,-0.29175941450765974,0.08018863857521064,0.06550222614242074
AAMC,Altisource Asset Management Corp Com,2022-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2857143592401985,-0.6524444671107574,0.07971012906968733
