ticker,fund_name,initial_date,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
FCG,First Trust Natural Gas ETF,2007-05-11,NA,NA,NA,NA,NA,NA,NA,NA,0.12784672521823337,-0.46440708810451636,0.5006956637046762,0.12193217678647983,-0.07205127349561768,-0.13434914951998356,0.24865995991215528,-0.4198589459426979,-0.5906064636290319,0.19524911144293244,-0.11379588231464521,-0.3481168179440113,-0.15756977356703905,-0.23185899083130201,0.9848964884182603,0.47240078333052526,0.025475525152380385,-0.020996303403011396
FCOM,Fidelity MSCI Communication Services Index ETF,2013-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02001583686729047,0.06344377956257552,0.03291082070953344,0.22590200699078444,0.03673538797602327,-0.053257880234383714,0.266927201215859,0.2833135948473522,0.1348439709186493,-0.38967203395289385,0.4466707384229791,0.008978710050036254
FCPI,Fidelity Stocks for Inflation ETF,2019-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04429545831165038,0.02185452722606085,0.34191119724563923,-0.0710545061307436,0.15393827985214315,0.011657169886997831
FCTR,First Trust Lunt U.S. Factor Rotation ETF,2018-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12086687839883292,0.30904385075626606,0.301755843512866,0.21041384821371367,-0.20414891129847568,0.0042623702235815575,-0.024469243712613165
FCUS,Tidal ETF Trust II Pinnacle Focused Opportunities ETF,2022-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2112450854541994,-0.011234519275132193
FDCE,Affinity World Leaders Equity ETF Foundations Dynamic Core ETF,2023-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11902413693179126,-0.016136204017059286
FDEC,FT Vest U.S. Equity Buffer ETF - December,2020-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01372811517735939,0.1411649583619794,-0.0918189465802769,0.22764488027333707,0.00410361222170641
FDG,American Century Focused Dynamic Growth ETF,2020-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9361229636127153,0.08522958120009938,-0.35744361604206387,0.3722051074736521,0.005099016012832802
FDGR,Affinity World Leaders Equity ETF Foundations Dynamic Growth E,2023-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09100710509309007,-0.007460690616221899
FDIF,Fidelity Disruptors ETF,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0648585327316229,-0.00755568042232313
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,2013-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06479882687991112,0.09386067631102657,0.063014802960764,0.061820367766966866,0.22941059146329668,-0.008774212211988264,0.27438248279598976,0.49504843107618934,0.24246010870034307,-0.35231993117036586,0.40480343143364617,-0.025462402762432168
FDIV,MarketDesk Focused U.S. Dividend ETF,2023-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07398488250518476,-0.0034674753272890824
